n_estimators,min_child_weight,max_depth,learning_rate,gamma,log_loss,mean_test_score
50,1,6,0.3,0.0,0.3480198190518651,0.905
50,2,10,0.019999999999999997,0.0,0.3885513629745435,0.8975
50,2,6,0.22999999999999998,4.0,0.2985529521590704,0.90625
100,7,10,0.11999999999999998,3.0,0.3009954893387966,0.9112500000000001
50,3,10,0.11999999999999998,0.0,0.2889638326817813,0.90625
100,8,9,0.03,5.0,0.3108904657076583,0.90625
250,5,13,0.08999999999999998,2.0,0.286471045453936,0.9125
200,4,3,0.12999999999999998,5.0,0.312055582576984,0.9
100,7,11,0.21999999999999997,2.0,0.29406696396301607,0.9125
200,2,10,0.21999999999999997,3.0,0.298750039403214,0.905
200,1,11,0.3,0.0,0.4359517799770448,0.9037499999999999
50,2,4,0.16999999999999998,2.0,0.2969296299634197,0.9075
100,8,8,0.049999999999999996,4.0,0.3050895098791533,0.9099999999999999
50,5,3,0.01,4.0,0.5001728718203692,0.8887499999999999
250,1,8,0.019999999999999997,0.0,0.32798907290489365,0.9099999999999999
50,5,10,0.20999999999999996,3.0,0.291543755739576,0.9087500000000001
50,1,10,0.26999999999999996,3.0,0.2993711771616923,0.9037499999999999
50,8,5,0.01,4.0,0.4937614330682264,0.89875
250,4,13,0.05999999999999999,4.0,0.30397348121597273,0.9125
100,1,13,0.09999999999999998,0.0,0.3580808567569173,0.9125
250,7,13,0.039999999999999994,5.0,0.3067945524005392,0.9075
150,5,8,0.09999999999999998,3.0,0.29117727444736224,0.9099999999999999
50,7,14,0.07999999999999999,5.0,0.3101824905071867,0.9075
200,6,4,0.23999999999999996,1.0,0.3063369495392357,0.9125
150,5,5,0.13999999999999999,4.0,0.3056992698330847,0.91375
100,1,6,0.22999999999999998,5.0,0.2992338901034179,0.9075000000000001
200,2,9,0.18,1.0,0.3065765614350986,0.90625
200,3,8,0.06999999999999999,5.0,0.3020996328125306,0.9112500000000001
100,6,4,0.049999999999999996,1.0,0.28854075639684135,0.9112499999999999
150,1,4,0.05999999999999999,0.0,0.3085496370730328,0.90625
50,5,9,0.19999999999999998,3.0,0.28764147057551037,0.9125
50,6,11,0.019999999999999997,4.0,0.39833394762831426,0.9024999999999999
250,2,12,0.06999999999999999,5.0,0.2987075076535468,0.90625
200,9,5,0.06999999999999999,2.0,0.30096744822227117,0.91375
50,6,13,0.049999999999999996,4.0,0.31641538407619785,0.9112500000000001
100,2,7,0.15999999999999998,3.0,0.29456371430705963,0.90625
200,5,11,0.039999999999999994,4.0,0.3046987235721376,0.9087500000000001
100,2,8,0.29,1.0,0.32034262262222235,0.89625
250,2,4,0.21999999999999997,0.0,0.3733805705221448,0.9087500000000001
150,4,14,0.07999999999999999,4.0,0.3007983966674113,0.9125
