n_estimators,min_child_weight,max_depth,learning_rate,gamma,log_loss,neg_brier_score
50,1,6,0.3,0.0,0.4194323797103199,-0.12453772473234404
50,2,10,0.019999999999999997,0.0,0.39571461141340136,-0.12378837121284465
50,2,6,0.22999999999999998,4.0,0.3744207747340782,-0.1177512030726644
100,7,10,0.11999999999999998,3.0,0.3745615649230581,-0.11691489744414299
50,3,10,0.11999999999999998,0.0,0.38545934425771144,-0.12031452519447468
100,8,9,0.03,5.0,0.37091687453787414,-0.11593056708952479
250,5,13,0.08999999999999998,2.0,0.3775927164118839,-0.1181054020731495
200,4,3,0.12999999999999998,5.0,0.36678780243567705,-0.11626677648756674
100,7,11,0.21999999999999997,2.0,0.38131012679327775,-0.117225376164717
200,2,10,0.21999999999999997,3.0,0.3829403329444648,-0.11854836630352923
200,1,11,0.3,0.0,0.6245247343679569,-0.13817998097476897
50,2,4,0.16999999999999998,2.0,0.36767446579158386,-0.11648647283289729
100,8,8,0.049999999999999996,4.0,0.37111272002872964,-0.11587702860066515
50,5,3,0.01,4.0,0.43011722745593267,-0.1342961525939199
250,1,8,0.019999999999999997,0.0,0.3830801499990835,-0.11770437125921991
50,5,10,0.20999999999999996,3.0,0.3735668367291492,-0.11835846847977931
50,1,10,0.26999999999999996,3.0,0.3898651599641627,-0.11891201033031304
50,8,5,0.01,4.0,0.4218668876181502,-0.13222837557409084
250,4,13,0.05999999999999999,4.0,0.3738313547211241,-0.11646960939036603
100,1,13,0.09999999999999998,0.0,0.4407042460060571,-0.12576970758590894
250,7,13,0.039999999999999994,5.0,0.3706927669287328,-0.11610907272175805
150,5,8,0.09999999999999998,3.0,0.3764490768298462,-0.11638108256620094
50,7,14,0.07999999999999999,5.0,0.3733207534364353,-0.11636891390106645
200,6,4,0.23999999999999996,1.0,0.3694653662141848,-0.11627489241652825
150,5,5,0.13999999999999999,4.0,0.3702391474825627,-0.11580181717564826
100,1,6,0.22999999999999998,5.0,0.37323225777125485,-0.11759273874775282
200,2,9,0.18,1.0,0.38661105568370446,-0.12187689449988207
200,3,8,0.06999999999999999,5.0,0.37211502862816714,-0.11664053014973966
100,6,4,0.049999999999999996,1.0,0.3672400582116884,-0.11484127314481345
150,1,4,0.05999999999999999,0.0,0.37282186957348873,-0.11517635683091809
50,5,9,0.19999999999999998,3.0,0.3837568873020569,-0.11802542807260123
50,6,11,0.019999999999999997,4.0,0.3951607332880337,-0.1229604268926567
250,2,12,0.06999999999999999,5.0,0.3693626685875939,-0.1165075480980218
200,9,5,0.06999999999999999,2.0,0.36738673071972566,-0.11513895587470568
50,6,13,0.049999999999999996,4.0,0.37306747949704244,-0.11652799567186656
100,2,7,0.15999999999999998,3.0,0.3725039467276712,-0.11763491124091745
