n_estimators,min_child_weight,max_depth,learning_rate,gamma,log_loss,neg_brier_score
100,3,12,0.18999999999999997,0.0,0.3725146863708212,-0.09477368929022553
125,1,11,0.07999999999999999,2.0,0.3058305429596691,-0.08809645228341381
150,6,14,0.09999999999999998,1.0,0.30759244741005604,-0.08812760248730495
50,7,12,0.15,4.0,0.2920280882472724,-0.08640177909297013
125,2,4,0.049999999999999996,5.0,0.28339303351378503,-0.08603308151116636
75,7,12,0.16999999999999998,3.0,0.29516077481702324,-0.0861126803329024
150,8,5,0.26999999999999996,1.0,0.3078021364572157,-0.08998070316486292
50,3,4,0.03,3.0,0.3203223574367003,-0.09604871196401607
50,3,7,0.25999999999999995,3.0,0.3033940654395421,-0.08695826874261257
125,9,8,0.07999999999999999,1.0,0.3020217725383258,-0.08678323274870105
100,4,6,0.11999999999999998,2.0,0.2863686767656954,-0.08627564911783112
150,4,12,0.16999999999999998,1.0,0.30107914148728093,-0.08858286977664709
75,5,7,0.15999999999999998,2.0,0.294662343724589,-0.0880332412150999
75,6,5,0.3,0.0,0.3283231168158307,-0.09405966854890704
125,5,13,0.07999999999999999,2.0,0.2963893388694399,-0.08638456482370568
50,4,8,0.25999999999999995,3.0,0.3009293972025635,-0.08759314554111598
75,1,12,0.13999999999999999,4.0,0.29593157554473454,-0.08722504225112994
100,2,8,0.15999999999999998,0.0,0.349599822731268,-0.09380559591877044
150,5,4,0.019999999999999997,4.0,0.2892549799524769,-0.08732532825387648
50,8,10,0.19999999999999998,3.0,0.29538688377752675,-0.08660366398050809
125,5,13,0.3,4.0,0.30145211650510306,-0.08853794297226486
100,1,14,0.25999999999999995,1.0,0.33198918051921755,-0.09438144893448633
50,4,3,0.049999999999999996,5.0,0.30542154901637786,-0.09128907559835728
100,1,9,0.15999999999999998,4.0,0.29970252470591485,-0.08740631616886359
125,5,9,0.07999999999999999,5.0,0.2909795531706114,-0.08545259558670933
50,1,14,0.18,2.0,0.3081036924864774,-0.09162234641014635
125,8,5,0.20999999999999996,1.0,0.3006510270434709,-0.08791385084819445
75,8,8,0.09999999999999998,2.0,0.29128035819481946,-0.0870461793509949
125,3,13,0.3,1.0,0.32354355711502353,-0.09306161139627385
75,7,11,0.25999999999999995,5.0,0.2939772496141489,-0.0874924985321724
100,7,5,0.24999999999999997,3.0,0.28357340012674814,-0.08598918572962702
125,9,4,0.22999999999999998,0.0,0.31901595512565534,-0.09194709780532334
150,2,3,0.3,1.0,0.295023143061832,-0.08957723839219309
50,4,3,0.22999999999999998,3.0,0.28384583390091944,-0.08540221690215666
100,9,13,0.3,1.0,0.3183360821138901,-0.09096752655736653
50,3,4,0.09999999999999998,5.0,0.2825895027806785,-0.0854700238612636
75,3,6,0.13999999999999999,1.0,0.2943164955072419,-0.08810415505684487
125,5,13,0.06999999999999999,3.0,0.29251984172638507,-0.08605087872517393
125,3,11,0.18,5.0,0.2944067886099613,-0.08566603068489949
125,6,8,0.26999999999999996,4.0,0.30398913605135686,-0.08765141131986579
150,8,10,0.07999999999999999,5.0,0.2913634502647778,-0.08541296490339018
50,6,5,0.13999999999999999,3.0,0.28053189015494584,-0.08652034534115864
50,7,8,0.16999999999999998,2.0,0.2939837001229285,-0.0868171769870231
50,7,9,0.25999999999999995,3.0,0.29639198755361407,-0.08866563795544914
50,4,4,0.18,3.0,0.28352255715689534,-0.08451488998824798
75,2,12,0.03,1.0,0.3059982439443461,-0.09029772672423275
75,2,5,0.12999999999999998,1.0,0.29555131828193026,-0.0872713548151456
100,5,12,0.19999999999999998,4.0,0.294110301007658,-0.08680827738165069
