caseid,tname,tid,nan_count_per_column,zero_count,size,samplingperiode
1,BIS/EEG1_WAV,0aa685df768489a18a5e9f53af0d83bf60890c73,164,418,1477268,22.85
1,BIS/EEG2_WAV,ad13b2c39b19193c8ae4a2de4f8315f18d61a57e,164,235,1477268,24.7
1,Primus/AWP,37cdb593a215fe148d994485a93c77d8cc6a6008,2593,0,721322,
1,Primus/CO2,c39466fa9b7f231e1f26cdccb8ccf8fbde782459,92,73312,721322,
1,SNUADC/ART,724cdd7184d7886b8f7de091c5b135bd01949959,421,0,5770575,
1,SNUADC/ECG_II,8c9161aaae8cb578e2aa7b60f44234d98d2b3344,421,0,5770575,
1,SNUADC/ECG_V5,363a54200c312618a0c77f2e422426273807b007,421,0,5770575,
1,SNUADC/PLETH,9acbed98f1f15c7827ee3bcc55eaef19f861b824,421,0,5770575,
2,BIS/EEG1_WAV,2413312693a9d226ed1276c632b99c1db01e0bb9,185,1008,2014777,20.9
2,BIS/EEG2_WAV,f909d5568eb20526705c868d4abbb909e23b28e0,185,473,2014777,27.2
2,Primus/AWP,07bae207374784b0b5e992cd6689ac2af951cc48,4189,5248,983778,
2,Primus/CO2,71c2d4ee51d1f663203e18c162b7685a43542c16,108,2084,983778,
2,SNUADC/ECG_II,62204d727b2e31e42f9602c054c7d9e598b2db05,509,0,7870221,
2,SNUADC/ECG_V5,4a15b16499ffe1761a652dde373a664289b4fa1d,509,0,7870221,
2,SNUADC/PLETH,8dc8fb6a62bf86f5117e4b5ea679f061c30b8640,509,0,7870221,
3,BIS/EEG1_WAV,3a3fe9248e00cd20c3442960d92405c4bb405a05,2358,183,562438,
3,BIS/EEG2_WAV,de526b0845657cda2e4b8a6a9234b5a3ea4d30f7,2358,110,562438,
3,Primus/AWP,9b62be24bc4fb98c19f3c12c536c3bb2a4bbd897,2415,0,274628,
3,SNUADC/ART,54be86b8ba1eb9c42a572b5824310eb6c9f19aef,9060,0,2197020,34.6384
3,SNUADC/ECG_II,2012a9532285255e1051e9be389d69e2778373ba,9060,0,2197020,0.129144
3,SNUADC/ECG_V5,304fe65ad7c48eb2138a0d3f687bca498ac5a560,9060,0,2197020,0.178517
3,SNUADC/PLETH,808aa20f903b14683f5b5fb7ea5a45e53e2117be,9060,0,2197020,21.36
4,BIS/EEG1_WAV,1b4c2379be3397a79d3787dd810190150dc53f27,26986,1955,2686650,
4,BIS/EEG2_WAV,c99764eadba24cfffcfe6e4a5fd600bc076f0085,26986,2854,2686650,
4,Primus/AWP,d3bbb601ee1ea770ab04350b44bf388ecee17eba,5322,791,1311841,0.2
4,Primus/CO2,644dc50df8583ff844801eda8031854a8730a8af,1321,67772,1311841,0.0
4,SNUADC/ART,e28777c4706fe3a5e714bf2d91821d22d782d802,9576,0,10494725,
4,SNUADC/ECG_II,be29325ee538657798f5c804bf72596fb3fd47ea,9576,0,10494725,
4,SNUADC/PLETH,e8d08e829a45456e8890f47d0995f1b3064529b4,9576,0,10494725,
5,BIS/EEG1_WAV,94450301875a2acb3cf56e621ed9fc4bb7ecc786,939,1049,2755931,6.25
5,BIS/EEG2_WAV,e7b6798021cb3e108cd213afe94f8f668e285f56,939,985,2755931,0.2
5,Primus/AWP,27f741d3fd1d00782072d3eaeeab946c08d9649e,4485,8297,1345670,
5,Primus/CO2,cee0fdd7b381733de9dadc93119d9c2c4108b904,320,22109,1345670,
5,SNUADC/CVP,fcce5d63317299520a3631ed3c608ae5bd9512dd,485,0,10765355,
5,SNUADC/ECG_II,3431cd35ca4bc15b6de13e4c49b2db56e6bc5a37,485,0,10765355,
5,SNUADC/ECG_V5,12c90e3e93ae6b9c3f3be427df86eadff22a14b7,485,0,10765355,
5,SNUADC/FEM,f30adc7e34df096db1e24ca599ec0ce6e78f2b20,485,0,10765355,
5,SNUADC/PLETH,7cfa86c1b838540f2956240169a83f3723b4092a,485,0,10765355,
6,Primus/AWP,d890bc218e161173ffdc0953c87c557a5a053341,1434,27434,321504,0.6
6,Primus/CO2,97baf078186dc7b7131a4664e780499f2e40d2c7,144,17687,321504,0.0
6,SNUADC/ECG_II,dc6e283d934f25557785d5405a937cf34ea2ca95,564,0,2572026,
6,SNUADC/PLETH,309710d8957c52535426e72d94bbb41b5fd5d013,564,0,2572026,
7,Primus/AWP,955c279f6edea4d40cf415652eed82fabd4486e0,3738,0,985578,
7,Primus/CO2,45e42170cf79421c622a84d8cb1193787eb0c02e,1128,117077,985578,
7,SNUADC/ART,a693647dfcc9b1ba19042b05de10276bd4f3d839,7598,0,7884623,-2.88494
7,SNUADC/CVP,20c3c458496ea1fc637f3d94122e33167ef5218e,7598,0,7884623,-10.7846
7,SNUADC/ECG_II,f5bdb6cceb16a2f45ad0df54d3736126d7d076bd,7598,0,7884623,-1.06568
7,SNUADC/PLETH,9f042039ebdd72b489b1bdcc03b3affe29bc3eb6,7598,0,7884623,36.3694
8,BIS/EEG1_WAV,ef212e0c15ee563a82138717dc1670d5c28eb4d7,187,303,757419,
8,BIS/EEG2_WAV,80d681d05c02d031f17ea4e4052f50850f63915a,187,263,757419,
8,Primus/AWP,556404d6a4d5ab46d6e0ab1db1d363e1ef77a6ef,1456,7143,369834,4.1
8,Primus/CO2,35dda3fb565dadf97cb11e58c307ec1f979a9b06,144,2951,369834,0.0
8,SNUADC/ECG_II,f762f0bd0ba49c6d1b50a4918db16e403842c0b7,470,0,2958667,
8,SNUADC/ECG_V5,73aeedaafa03a633c7ff1c4e8a3a65e7db051223,470,0,2958667,
8,SNUADC/PLETH,f67a7d91640d4e5d16bbe7c4ac41aff1dfcd8a7f,470,0,2958667,
9,BIS/EEG1_WAV,4d489d170eec9b7d26dbcd5e6881aed1c5e532ff,180,171,573508,22.5
9,BIS/EEG2_WAV,780ca2c4f778a4fe8a07d02b20054839d5f0043e,180,222,573508,22.35
9,Primus/AWP,4b859b8cd8207b1f75794fcbe518026c118f8da4,2023,3891,280033,
9,Primus/CO2,23939684feedb56709a8de0866121a757df103d2,643,54879,280033,
9,SNUADC/ECG_II,b894ece77a91508b9ff794d19301c27aa24e4af0,466,0,2240264,
9,SNUADC/ECG_V5,8c8d6fcdb364cb732aa7599e9eaf9d4c657895cd,466,0,2240264,
9,SNUADC/PLETH,a5ea05559b2fbce91b85c4824d59ce7e6d33688b,466,0,2240264,
10,BIS/EEG1_WAV,da5625cfa196ee32d2913b9b38f4ec966d171622,692,1744,2686996,
10,BIS/EEG2_WAV,4eabf67934abcf1132e60d97543c260a0fda0dd8,692,3326,2686996,
10,Primus/AWP,33fb656d7d5aac6f97ae78d37a2f55fab9956798,4442,4926,1312010,0.1
10,Primus/CO2,d8d40bb4cbfba9d600784d17e39537665e2ab9f8,470,28083,1312010,0.0
10,SNUADC/ART,58d78f57ffad2ce71fea9cb8e9df2e8fdeeb7556,2026,0,10496076,
10,SNUADC/ECG_II,c31fe646f6619757dec89dd37bdcf19731226366,2026,0,10496076,
10,SNUADC/PLETH,332e6ac3f127d341b89950fcb886b6d045fcd1ee,2026,0,10496076,
11,Primus/AWP,da758545ce700c3f9dea94d8e3cc32031705d83b,1691,40209,329021,-0.1
11,Primus/CO2,a36ec8c6690529758777285af27d5bd032c1ee75,341,48182,329021,0.5
11,SNUADC/ECG_II,172b1b7be2c10ab16dd4ec1eed0d294fd3bd23a0,2567,0,2632164,
11,SNUADC/PLETH,e3f2bb4cc770396b6bbee68e9c88aee9e6add980,2567,0,2632164,
12,BIS/EEG1_WAV,8af2239b4e26ffd233ee830c5c5e76affa03c63e,2463,1252,3993967,27.6
12,BIS/EEG2_WAV,f883b46f4f5f672e56b3bd4d894b7bdc25bd8b56,2463,623,3993967,15.4
12,Primus/AWP,ae34ca529981295c92bf83a93b59cc95c80ecca6,6967,0,1950180,
12,Primus/CO2,019acb3a3d200f1e558cf5ffa4a6a8616693e561,1470,4298,1950180,
13,BIS/EEG1_WAV,7fcc43b9f9b96b0681594a29e1fef629ef8472a7,3853,1040,1383725,
13,BIS/EEG2_WAV,ba2f55b47dc3b59876efe9d29d6c4b2ebe8f8854,3853,927,1383725,
13,Primus/AWP,c0cd6e22680f0a8f7c49bd3c2edd3b64fb0b38e0,3208,67656,675647,
13,Primus/CO2,e2e116c8c8fd831609640c2706218ed7849625dc,1937,76299,675647,
13,SNUADC/ART,cbbbf57885b121f491bb2bdfc781b8f3c3891e1f,17315,0,5405175,-11.7721
13,SNUADC/ECG_II,735aad48378b339bea25708f68b3bb5ff3e3ef8d,17315,0,5405175,0.030398
13,SNUADC/PLETH,adbc415bca2704ac6fce305a11002c18f1c3074a,17315,0,5405175,38.3443
14,BIS/EEG1_WAV,898fa8995d296c7f0968ce95361d25bd601db0a5,548,303,526724,
14,BIS/EEG2_WAV,25b74ef0d565749106125e77a7dbfb4799856ace,548,408,526724,
14,Primus/AWP,0a2d3f6129f075fc1da08bd856510cb7aac026e1,1506,1387,257190,0.2
